label tags tooltip arrow_style source target width relative as level0
NA "NA NA" NA "curved arrow" 06_5_T2.3_6 NA_D3_Vaccin_cohort_cov_ALL NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_6_T2_6 NA_D3_study_population NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_6_T2_6 NA_D3_Vaccin_cohort NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_6_T2_6 NA_D3_vaxweeks_vaccin_cohort NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_6_T2_6 NA_D3_studyweeks NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_6_T2_6 NA_D3_vaxweeks NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_6_T2_6 NA_D3_vaxweeks_including_not_vaccinated NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D4_population_b NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D3_study_variables_for_children NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D3_selection_criteria_c NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D4_population_c_no_risk NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D3_selection_criteria_d NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D4_population_d_28 NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D4_population_d NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_7_children_6 NA_D4_population_d_long NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_8_T2.2_6 NA_D3_population_c_covariates NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_9_T2.2_6 NA_D3_population_c_DP NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_10_T2.3_6 NA_D4_population_c_cov NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_11_T2.3_6 NA_D3_population_c_cov_ALL NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_12_children_6 NA_D4_population_c NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_9_T3_7 NA_D4_persontime_b NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_9_T3_7 NA_D4_persontime_c NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_9_T3_7 NA_D4_persontime_d NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_9_T3_7 NA_D4_persontime_d_long NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_10_T3_7 NA_D4_persontime_b_BC NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_10_T3_7 NA_D4_persontime_c_BC NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_10_T3_7 NA_D4_persontime_d_BC NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_10_T3_7 NA_D4_persontime_d_long_BC NA NA NA FALSE
NA "NA NA" NA "curved arrow" 08_2_T4_8 NA_RES_IR_year_children_b NA NA NA FALSE
NA "NA NA" NA "curved arrow" 08_2_T4_8 NA_RES_IR_year_children_c NA NA NA FALSE
NA "NA NA" NA "curved arrow" 08_2_T4_8 NA_RES_IR_year_children_d NA NA NA FALSE
NA "NA NA" NA "curved arrow" 08_2_T4_8 NA_RES_IR_year_children_d_fup NA NA NA FALSE
NA "NA NA" NA "curved arrow" 09_4_T3_9 NA_D4_descriptive_dataset_STRATA NA NA NA FALSE
NA "NA NA" NA "curved arrow" 09_4_T3_9 NA_D4_followup_STRATA2 NA NA NA FALSE
NA "NA NA" NA "curved arrow" 11_2_T4_11 NA_dummy_tables NA NA NA FALSE
NA "NA NA" NA "curved arrow" 06_13_Poisson_6 NA_D3_vaxweeks_poisson NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_11_T3_7 NA_D4_persontime_risk_month_poisson NA NA NA FALSE
NA "NA NA" NA "curved arrow" 07_12_T3_7 NA_D4_persontime_monthly_poisson_RF NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_conceptsetdataset 01_1_T2.1_1 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_output_spells_category 01_2_T2.1_1 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_PERSONS 01_3_T2.1_1 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_events_DEATH 01_3_T2.1_1 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_itemsetdataset 01_4_T2.1_1 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_promptsetdataset 01_4_T2.1_1 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_concepts_QC_criteria 02_1_T2_2 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_selected_doses 02_2_T3_2 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_Flowchart_QC_criteria 02_2_T3_2 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_selection_criteria 03_1_T2_3 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_persons_doses 03_2_T2_3 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_study_population 04_1_T3_4 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_Flowchart_basic_exclusion_criteria 04_1_T3_4 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_Flowchart_exclusion_criteria 04_1_T3_4 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_Flowchart_doses 04_2_T3_4 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_number_criteria_excluded.csv 04_3_T3_4 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_components_OUTCOME_type 05_1_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_events_OUTCOME_type 05_1_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_events_COVID_narrow 05_1_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_eventsSecondary_SECCOMP 05_2_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_events_ALL_OUTCOMES 05_3_T2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_QC_code_counts_in_study_population_OUTCOME_year 05_4_QC_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_QC_all_components_OUTCOME 05_5_QC_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_study_population_covariates 05_6_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_study_population_DP 05_7_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_study_population_cov 05_8_T2.3_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_study_population_cov_ALL 05_9_T2.3_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_covid_episodes 05_12_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_covid_episodes_description 05_12_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_QC_covid_episodes 05_12_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_covid_severity_components_hospitalisation 05_13_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_QC_covid_severity_components_hospitalisation 05_13_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_covid_severity_components_ICU 05_14_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_QC_covid_severity_components_ICU 05_14_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_covid_severity_components_death 05_15_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_QC_covid_severity_components_death 05_15_T2.2_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_covid_episodes_severity 05_16_T2.3_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_outcomes_severity_episodes_covid 05_16_T2.3_5 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_study_population_no_risk 06_1_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_Vaccin_cohort_no_risk 06_1_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_Vaccin_cohort_covariates 06_2_T2.2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_Vaccin_cohort_DP 06_3_T2.2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_Vaccin_cohort_cov 06_4_T2.3_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_Vaccin_cohort_cov_ALL 06_5_T2.3_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_study_population 06_6_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_Vaccin_cohort 06_6_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_vaxweeks_vaccin_cohort 06_6_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_studyweeks 06_6_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_vaxweeks 06_6_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_vaxweeks_including_not_vaccinated 06_6_T2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_b 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_study_variables_for_children 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_selection_criteria_c 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_c_no_risk 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_selection_criteria_d 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_d_28 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_d 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_d_long 06_7_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_population_c_covariates 06_8_T2.2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_population_c_DP 06_9_T2.2_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_c_cov 06_10_T2.3_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_population_c_cov_ALL 06_11_T2.3_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_population_c 06_12_children_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_b 07_9_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_c 07_9_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_d 07_9_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_d_long 07_9_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_b_BC 07_10_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_c_BC 07_10_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_d_BC 07_10_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_d_long_BC 07_10_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_RES_IR_year_children_b 08_2_T4_8 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_RES_IR_year_children_c 08_2_T4_8 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_RES_IR_year_children_d 08_2_T4_8 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_RES_IR_year_children_d_fup 08_2_T4_8 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_descriptive_dataset_STRATA 09_4_T3_9 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_followup_STRATA2 09_4_T3_9 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_dummy_tables 11_2_T4_11 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D3_vaxweeks_poisson 06_13_Poisson_6 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_risk_month_poisson 07_11_T3_7 NA NA NA FALSE
NA "NA NA" NA "curved arrow" NA_D4_persontime_monthly_poisson_RF 07_12_T3_7 NA NA NA FALSE
