cell_name cell_style label tags link placeholders tooltip shape x y width height as
NA_D3_eventsSecondary_SECCOMP yellow D3_eventsSecondary_SECCOMP NA NA NA NA NA 700 1000 NA NA NA
NA_D3_events_ALL_OUTCOMES yellow D3_events_ALL_OUTCOMES NA NA NA NA NA 900 1000 NA NA NA
NA_QC_code_counts_in_study_population_OUTCOME_year yellow QC_code_counts_in_study_population_OUTCOME_year NA NA NA NA NA 1100 1000 NA NA NA
NA_QC_all_components_OUTCOME yellow QC_all_components_OUTCOME NA NA NA NA NA 1300 1000 NA NA NA
NA_D3_study_population_covariates yellow D3_study_population_covariates NA NA NA NA NA 1500 1000 NA NA NA
NA_D3_study_population_DP yellow D3_study_population_DP NA NA NA NA NA 1700 1000 NA NA NA
NA_D4_study_population_cov yellow D4_study_population_cov NA NA NA NA NA 1900 1000 NA NA NA
NA_D3_study_population_cov_ALL yellow D3_study_population_cov_ALL NA NA NA NA NA 2100 1000 NA NA NA
NA_D3_covid_episodes yellow D3_covid_episodes NA NA NA NA NA 2300 1000 NA NA NA
NA_D3_covid_episodes_description yellow D3_covid_episodes_description NA NA NA NA NA 2500 1000 NA NA NA
NA_QC_covid_episodes yellow QC_covid_episodes NA NA NA NA NA 2700 1000 NA NA NA
NA_D3_covid_severity_components_hospitalisation yellow D3_covid_severity_components_hospitalisation NA NA NA NA NA 2900 1000 NA NA NA
NA_QC_covid_severity_components_hospitalisation yellow QC_covid_severity_components_hospitalisation NA NA NA NA NA 3100 1000 NA NA NA
NA_D3_covid_severity_components_ICU yellow D3_covid_severity_components_ICU NA NA NA NA NA 3300 1000 NA NA NA
NA_QC_covid_severity_components_ICU yellow QC_covid_severity_components_ICU NA NA NA NA NA 3500 1000 NA NA NA
NA_D3_covid_severity_components_death yellow D3_covid_severity_components_death NA NA NA NA NA 3700 1000 NA NA NA
NA_QC_covid_severity_components_death yellow QC_covid_severity_components_death NA NA NA NA NA 3900 1000 NA NA NA
NA_D3_covid_episodes_severity yellow D3_covid_episodes_severity NA NA NA NA NA 4100 1000 NA NA NA
NA_D3_outcomes_severity_episodes_covid yellow D3_outcomes_severity_episodes_covid NA NA NA NA NA 4300 1000 NA NA NA
NA_D3_study_population_no_risk yellow D3_study_population_no_risk NA NA NA NA NA 100 1200 NA NA NA
NA_D3_Vaccin_cohort_no_risk yellow D3_Vaccin_cohort_no_risk NA NA NA NA NA 300 1200 NA NA NA
NA_D3_Vaccin_cohort_covariates yellow D3_Vaccin_cohort_covariates NA NA NA NA NA 500 1200 NA NA NA
NA_D3_Vaccin_cohort_DP yellow D3_Vaccin_cohort_DP NA NA NA NA NA 700 1200 NA NA NA
NA_D4_Vaccin_cohort_cov yellow D4_Vaccin_cohort_cov NA NA NA NA NA 900 1200 NA NA NA
NA_D3_Vaccin_cohort_cov_ALL yellow D3_Vaccin_cohort_cov_ALL NA NA NA NA NA 1100 1200 NA NA NA
NA_D3_study_population yellow D3_study_population NA NA NA NA NA 1300 1200 NA NA NA
NA_D3_Vaccin_cohort yellow D3_Vaccin_cohort NA NA NA NA NA 1500 1200 NA NA NA
NA_D3_vaxweeks_vaccin_cohort yellow D3_vaxweeks_vaccin_cohort NA NA NA NA NA 1700 1200 NA NA NA
NA_D3_studyweeks yellow D3_studyweeks NA NA NA NA NA 1900 1200 NA NA NA
NA_D3_vaxweeks yellow D3_vaxweeks NA NA NA NA NA 2100 1200 NA NA NA
NA_D3_vaxweeks_including_not_vaccinated yellow D3_vaxweeks_including_not_vaccinated NA NA NA NA NA 2300 1200 NA NA NA
NA_D4_population_b yellow D4_population_b NA NA NA NA NA 2500 1200 NA NA NA
NA_D3_study_variables_for_children yellow D3_study_variables_for_children NA NA NA NA NA 2700 1200 NA NA NA
NA_D3_selection_criteria_c yellow D3_selection_criteria_c NA NA NA NA NA 2900 1200 NA NA NA
NA_D4_population_c_no_risk yellow D4_population_c_no_risk NA NA NA NA NA 3100 1200 NA NA NA
NA_D3_selection_criteria_d yellow D3_selection_criteria_d NA NA NA NA NA 3300 1200 NA NA NA
NA_D4_population_d_28 yellow D4_population_d_28 NA NA NA NA NA 3500 1200 NA NA NA
NA_D4_population_d yellow D4_population_d NA NA NA NA NA 3700 1200 NA NA NA
NA_D4_population_d_long yellow D4_population_d_long NA NA NA NA NA 3900 1200 NA NA NA
NA_D3_population_c_covariates yellow D3_population_c_covariates NA NA NA NA NA 4100 1200 NA NA NA
NA_D3_population_c_DP yellow D3_population_c_DP NA NA NA NA NA 4300 1200 NA NA NA
NA_D4_population_c_cov yellow D4_population_c_cov NA NA NA NA NA 4500 1200 NA NA NA
NA_D3_population_c_cov_ALL yellow D3_population_c_cov_ALL NA NA NA NA NA 4700 1200 NA NA NA
NA_D4_population_c yellow D4_population_c NA NA NA NA NA 4900 1200 NA NA NA
NA_D4_persontime_b yellow D4_persontime_b NA NA NA NA NA 100 1400 NA NA NA
NA_D4_persontime_c yellow D4_persontime_c NA NA NA NA NA 300 1400 NA NA NA
NA_D4_persontime_d yellow D4_persontime_d NA NA NA NA NA 500 1400 NA NA NA
NA_D4_persontime_d_long yellow D4_persontime_d_long NA NA NA NA NA 700 1400 NA NA NA
NA_D4_persontime_b_BC yellow D4_persontime_b_BC NA NA NA NA NA 900 1400 NA NA NA
NA_D4_persontime_c_BC yellow D4_persontime_c_BC NA NA NA NA NA 1100 1400 NA NA NA
NA_D4_persontime_d_BC yellow D4_persontime_d_BC NA NA NA NA NA 1300 1400 NA NA NA
NA_D4_persontime_d_long_BC yellow D4_persontime_d_long_BC NA NA NA NA NA 1500 1400 NA NA NA
NA_RES_IR_year_children_b yellow RES_IR_year_children_b NA NA NA NA NA 100 1600 NA NA NA
NA_RES_IR_year_children_c yellow RES_IR_year_children_c NA NA NA NA NA 300 1600 NA NA NA
NA_RES_IR_year_children_d yellow RES_IR_year_children_d NA NA NA NA NA 500 1600 NA NA NA
NA_RES_IR_year_children_d_fup yellow RES_IR_year_children_d_fup NA NA NA NA NA 700 1600 NA NA NA
NA_D4_descriptive_dataset_STRATA yellow D4_descriptive_dataset_STRATA NA NA NA NA NA 100 1800 NA NA NA
NA_D4_followup_STRATA2 yellow D4_followup_STRATA2 NA NA NA NA NA 300 1800 NA NA NA
NA_dummy_tables yellow dummy_tables NA NA NA NA NA 100 2200 NA NA NA
NA_D3_vaxweeks_poisson yellow D3_vaxweeks_poisson NA NA NA NA NA 5100 1200 NA NA NA
NA_D4_persontime_risk_month_poisson yellow D4_persontime_risk_month_poisson NA NA NA NA NA 1700 1400 NA NA NA
NA_D4_persontime_monthly_poisson_RF yellow D4_persontime_monthly_poisson_RF NA NA NA NA NA 1900 1400 NA NA NA
